model,beta_horizon,std_error,t_stat,p_value,r_squared,n_obs,config
GRU,0.004273899649752397,0.00029741547264283653,14.37013216486179,7.9679048371922e-47,0.7967566491415501,72,A
LSTM,0.004885192275966399,0.0003466943644171017,14.090774980377567,4.327859639767048e-45,0.7893673764167689,72,A
Tree,0.0014762796779500967,0.00011050719389931932,13.359127364098148,1.047853367100508e-40,0.7820684622116625,72,A
XGBoost,0.005316417810692916,0.00048502730707213136,10.96106906389557,5.880060912422578e-28,0.7191447254426169,72,A
GRU,0.003960049035160833,0.0002804634819521204,14.119660098339919,2.873740500951679e-45,0.7912514790053996,72,B
LSTM,0.006522737747346224,0.000391509802323813,16.660471100928778,2.54015741816233e-62,0.8255859345628103,72,B
Tree,0.0014762796779500963,0.00011050719389931936,13.35912736409814,1.0478533671006123e-40,0.7820684622116627,72,B
XGBoost,0.0060659647969379445,0.0005609190438094992,10.814332057155262,2.944296101643183e-27,0.7035625097939989,72,B
