horizon,iteration_id,MSE,R2
1,1,0.017869944346507346,0.8532096826583906
2,1,0.019300085834463167,0.8414501334269266
3,1,0.02108271689388124,0.8267930635560339
4,1,0.02315951026039882,0.8097170983574333
5,1,0.02577697857193172,0.7881962141076155
6,1,0.029092078778054226,0.7609397350776097
7,1,0.033079668622739,0.7281531279209765
8,1,0.0376298854806017,0.6907382238156033
9,1,0.04280585564841223,0.6481753229520442
10,1,0.048751091561072324,0.5992837052799738
11,1,0.054901016028443106,0.5487024978226126
12,1,0.06103472260183849,0.49824720337096895
13,1,0.06698312863653318,0.44930780214543287
14,1,0.07264754625791232,0.4026959506818788
15,1,0.07820743085574752,0.3569365291226423
16,1,0.08403051463793675,0.3090057257848007
17,1,0.09024360210648145,0.25786017314293885
18,1,0.09696720642661953,0.20250793068777972
19,1,0.1043132608014038,0.14202732172371824
20,1,0.1125806212244426,0.0739586506079174
21,1,0.12198358604113096,-0.003463408348337582
22,1,0.13231831266516364,-0.08856077394211415
23,1,0.14326362439093743,-0.17869158577228417
24,1,0.15422205923779767,-0.2689404012119334
25,1,0.1642451689063728,-0.35150246228245696
26,1,0.17284238203953292,-0.4223403016540932
27,1,0.17982881564198755,-0.47993024674007767
28,1,0.18546297002381948,-0.5263970264886868
29,1,0.1902961166668768,-0.5662749683377017
30,1,0.1951817722720475,-0.6065867379869898
31,1,0.20057440955800498,-0.6510731658679345
32,1,0.20680031746992522,-0.7024207247595233
33,1,0.2133865222582252,-0.7567154661799245
34,1,0.21949261653983565,-0.8070239623736348
35,1,0.2248576505959719,-0.8512233471081856
36,1,0.22902858040861113,-0.8855900086942248
37,1,0.23214946687668636,-0.9113095059141554
38,1,0.2344980323380207,-0.9306700774659666
39,1,0.23662733937547006,-0.9482245189939396
40,1,0.2384971978435289,-0.9636352198040501
41,1,0.24056277008112686,-0.9806520899953834
42,1,0.24300757913032994,-1.0007990702100535
43,1,0.24553479488890348,-1.0216384795126539
44,1,0.24866874505277933,-1.0474890861978539
45,1,0.25250491445493883,-1.0791376243810529
46,1,0.25694121560596506,-1.115735066929529
47,1,0.2616986617376485,-1.1549817709885626
48,1,0.26678495871528685,-1.1969415270902046
49,1,0.27149097799983785,-1.235774892761257
50,1,0.27540748265143516,-1.2681113289113646
51,1,0.2785851013946421,-1.2943661677696405
52,1,0.28058324717193267,-1.3109088949434007
53,1,0.28096986542606783,-1.3141804367016343
54,1,0.279936252389743,-1.305754942991138
55,1,0.2777005256767063,-1.28742770801581
56,1,0.27454252215516967,-1.2615026843094466
57,1,0.27096806693211367,-1.2321457818215307
58,1,0.2674588206451482,-1.2033246828607012
59,1,0.2648899958976817,-1.1822522205661934
60,1,0.26417804099413567,-1.1764798186865795
61,1,0.2658847672549354,-1.1906354573924172
62,1,0.26879257670413764,-1.2146815971619103
63,1,0.27236206069173474,-1.244135661061585
64,1,0.27736871158735427,-1.2853936879997376
65,1,0.28299261190360037,-1.3317327796842435
66,1,0.2881454307459703,-1.3742069938266237
67,1,0.29211885007110394,-1.4069667591111474
68,1,0.295041319437223,-1.4310582361054869
69,1,0.29639797808995266,-1.442240999604767
70,1,0.29537907994314133,-1.4338425549886669
71,1,0.29219152729496356,-1.4075835385913602
72,1,0.2871013493133601,-1.3656443915834524
1,2,0.01998808594965293,0.8358104858801993
2,2,0.021508111659233272,0.82331124000905
3,2,0.023485413304310792,0.807053497419935
4,2,0.025640386897790055,0.7893337482834354
5,2,0.028032756158411175,0.7696609838588777
6,2,0.03098166447006803,0.7454123174746043
7,2,0.034481717758433165,0.7166311663080491
