iteration_id,strategy,global_mse,global_r2,var_mse_across_horizons,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,is_best
1,random,0.1186916112325078,0.02309567255146161,0.002518384018167089,0.7049582906585586,0.09046800706458055,4,128,0.7122920571808584,False
2,random,0.11928971679407002,0.018172899111166707,0.0027119461100966317,0.9188489682951995,0.18691333659165826,5,27,0.8819907327301539,False
3,random,0.14347026797239013,-0.18084778011710556,0.003692113579400539,0.7008215500510444,0.19026086356816524,4,95,0.9447560662364596,False
4,random,0.1072804212437041,0.11701672363200022,0.002239165679224313,0.7526966861807677,0.05503783629581965,6,60,0.9188966339289832,False
5,random,0.0990591896149365,0.18468247247221936,0.0018060319852985546,0.8268061663592975,0.13121918303736377,6,14,0.7899135671612154,False
6,bayes,0.0774835258070607,0.36226334042589314,0.0004732110250250073,0.8722922537832354,0.0563036462891611,1,41,0.7,False
7,bayes,0.139767004483765,-0.15036766370320698,6.405485327835159e-07,1.0,0.05,1,1,0.7,False
8,bayes,0.07366285505475173,0.39370979020384045,0.0006451885946956019,0.8396228558037854,0.05,1,79,0.8334415070822978,False
9,bayes,0.12395901337043513,-0.020258258611144164,0.0029334470722659767,0.8690642004010923,0.05,6,146,1.0,False
10,bayes,0.07150309230377089,0.4114859544650382,0.0006329002194898881,0.8324919297369144,0.07825364432924214,1,99,0.828566655347883,False
11,bayes,0.08105201005649135,0.3328925393262955,0.0003675732558885575,0.8056512231278031,0.10099424576341051,1,17,0.7,False
12,bayes,0.11583919371602144,0.046572807848638265,0.002811501377423752,0.8386384112636021,0.17484055016166658,2,142,0.7568766496988549,False
13,bayes,0.07689558242578666,0.3671024729264717,0.0007978481225103283,0.8699979399376834,0.1928508842699228,1,110,0.9652074003190065,False
14,bayes,0.0775262828374329,0.3619114239967055,0.0008171023983693902,0.7731301408890423,0.16058207120014675,1,150,1.0,False
15,bayes,0.07824576530139818,0.3559896446453896,0.0007800068298688664,0.7,0.19314977784864468,1,150,0.7,False
16,bayes,0.14427687031105424,-0.18748660915471516,0.003983073857685536,1.0,0.16894209805030388,3,150,0.7,False
17,bayes,0.07118959478997947,0.41406623014490296,0.0006268661127075873,0.8482170133231239,0.05377787604375946,1,150,0.7,True
18,bayes,0.12133023839874602,0.0013781621861174154,0.00011245110151514277,1.0,0.1673967861653132,6,1,0.7,False
19,bayes,0.1312429951178371,-0.08020986948071074,6.902165642651439e-06,0.7,0.14413377090633883,1,1,1.0,False
20,bayes,0.1289008865072136,-0.06093288761726101,0.0029975604253469315,1.0,0.07931111408299119,5,150,0.7,False
21,bayes,0.07546593887701085,0.37886931099535737,0.0007123016011512354,0.7806476421038392,0.14241653576065957,1,150,0.7,False
22,bayes,0.12186713628998073,-0.003040834808689219,6.516078701649338e-05,0.7,0.16310429537694104,6,1,0.7,False
23,bayes,0.08976300235313245,0.2611957615793872,0.001482709283958074,0.7,0.07349996703385103,2,150,0.7,False
24,bayes,0.12961382429617993,-0.06680080030300672,0.0029897166916395593,0.7,0.0870612768160589,6,150,0.7464490996880325,False
25,bayes,0.07320550558398252,0.3974740551970545,0.0006971414407456835,0.830213783080206,0.09438695612609183,1,150,1.0,False
26,bayes,0.07831342726851519,0.35543274540209957,0.000846867708143593,0.9527819261823044,0.18004384803520398,1,150,0.9362794570202859,False
