horizon,iteration_id,MSE,R2
1,1,0.06540506703980593,0.4627386431453089
2,1,0.06396951008772439,0.4744915967657052
3,1,0.0617426571432414,0.49274770678181634
4,1,0.059595937635452845,0.5103485431307162
5,1,0.05730536329677299,0.5291343838330453
6,1,0.05852760306549096,0.5190572526338876
7,1,0.058257390287675404,0.5212440152950923
8,1,0.0587968264099961,0.5167774034567622
9,1,0.059111345277814864,0.5141592278156264
10,1,0.06370312611023929,0.47638340312854
11,1,0.06602370395286593,0.45727174406042304
12,1,0.06690132970077481,0.4500191391948182
13,1,0.07075509766284689,0.4182970990680741
14,1,0.07327751320881454,0.3975163977569307
15,1,0.07549705692284464,0.3792226782723678
16,1,0.07717758487340681,0.3653582930550632
17,1,0.08010471012965555,0.3412397741403109
18,1,0.08024517359659128,0.3400357512383074
19,1,0.08270356121154372,0.3197662946157306
20,1,0.08215349641704238,0.32423951962704023
21,1,0.0847396704053741,0.3029131111244786
22,1,0.08584654586270267,0.29375473037479394
23,1,0.08644003957632472,0.28882053797263596
24,1,0.08784818355985774,0.27718440641295305
25,1,0.0901864938501379,0.2578943459057582
26,1,0.09102652405446705,0.25093202168122497
27,1,0.08903038423064387,0.2673100913697125
28,1,0.09042318749008928,0.2557992331688921
29,1,0.09157153585874578,0.24629988809037662
30,1,0.09032592361118734,0.256506233748642
31,1,0.0920181017393392,0.24253239039454022
32,1,0.09143985865491845,0.24724917085365006
33,1,0.09345012723265528,0.23066704453139675
34,1,0.09243919773564352,0.238972827404486
35,1,0.09343474252916523,0.23076410189918006
36,1,0.09439844937425292,0.22281851173877998
37,1,0.09428427330239433,0.2237482590610601
38,1,0.09453914892938788,0.2216399252170863
39,1,0.09584512217995665,0.21087809401148794
40,1,0.09732590817721636,0.19867997266122817
41,1,0.09552361974926832,0.21351480515248678
42,1,0.0965620395503264,0.204957970276879
43,1,0.0959010324056321,0.21038801272976837
44,1,0.09874890293904348,0.18692113478600236
45,1,0.09682514907545281,0.202737060133521
46,1,0.09915616023949357,0.18351688020927337
47,1,0.09623601553454902,0.20753565259944073
48,1,0.09828440375637974,0.19063994792852423
49,1,0.09598833256956148,0.20951957395368248
50,1,0.09765034652340175,0.19580305121134722
51,1,0.09706865437501434,0.2005637220582509
52,1,0.09885269967152362,0.18584026215894545
53,1,0.09870759821825145,0.187004654737292
54,1,0.09665316872067913,0.20389545965920064
55,1,0.09604029761769554,0.2089131364750999
56,1,0.09628707496623717,0.20684971934009766
57,1,0.09672001759287197,0.20325231776583585
58,1,0.0946745004385667,0.2200718482545052
59,1,0.09454926676492471,0.22107157481945472
60,1,0.09450441060008405,0.2214078745003678
61,1,0.09369989999311462,0.22800269681402652
62,1,0.09554032317794531,0.21280789029379532
63,1,0.09555259064356174,0.2126914606776441
64,1,0.09522080277088925,0.21542332452187152
65,1,0.09656602568057154,0.2043390604136317
66,1,0.09571634557753447,0.21133430259370345
67,1,0.09658048555956279,0.20420740303442309
68,1,0.09837309608856103,0.18943310749334674
69,1,0.09716995007440639,0.19934529401802292
70,1,0.09790561993537535,0.19328456092038715
71,1,0.09972072006369313,0.17832674237860058
72,1,0.10013187697757407,0.17493800096292578
1,2,0.0568969124853138,0.5326277643886808
2,2,0.05593678672356046,0.5404802782943864
3,2,0.053263614670450675,0.5624080346267815
4,2,0.051583842213382705,0.5761774293207464
5,2,0.05313636134584575,0.5633901595491577
6,2,0.05391727447383798,0.5569420109871216
7,2,0.05420739897350433,0.5545266180702547
8,2,0.054256490319418135,0.554092223470501
9,2,0.05346338362222483,0.5605802666047647
10,2,0.05724375164893633,0.5294771189297529
11,2,0.056537685042249396,0.5352487461208364
12,2,0.05933086009276239,0.5122542757808393
13,2,0.0603124784186774,0.5041495974506838
14,2,0.061889694243708285,0.4911464063550369
15,2,0.06286237861324297,0.4831117844389875
16,2,0.06605758201355223,0.4567995788608644
17,2,0.06756831050850153,0.44433585216782967
18,2,0.06826388238184368,0.43857406203425886
19,2,0.07170902502174664,0.4101959445825234
20,2,0.07177563425544459,0.4096034959082847
21,2,0.07216815046411425,0.4063291579696837
22,2,0.0722305860683684,0.4057709693453765
23,2,0.07406304518980476,0.390651405386212
24,2,0.07570553242292155,0.3770942421500184
25,2,0.07477502814066646,0.38470863208793227
26,2,0.0743125971003277,0.388472893458482
27,2,0.07540291554307067,0.37945954319835473
28,2,0.07459866419945843,0.386038198355946
29,2,0.07341796968844325,0.3957168955240138
30,2,0.07412582755283803,0.3898530067515157
31,2,0.07524216809879672,0.38062724470480913
32,2,0.07635164014418235,0.3714583413551069
33,2,0.07515730004546231,0.38126368062545435
34,2,0.07528427030690686,0.38020475322137015
35,2,0.07635252022902844,0.371399782556211
36,2,0.07629781906405658,0.3718408197978085
37,2,0.07721133233025074,0.3643114695348655
38,2,0.07534388917481888,0.37967840966762056
39,2,0.07712275009409328,0.3650250511960469
40,2,0.07820896413088808,0.3560768098727982
41,2,0.07786063030338176,0.35894145180177317
42,2,0.07873655204617795,0.35172384051014094
43,2,0.07816565610972477,0.3564142375858659
44,2,0.07854643559015455,0.3532642407615406
45,2,0.07976415075159042,0.3432181418630199
46,2,0.07965668089304172,0.3440817477135373
47,2,0.08055744312082559,0.33664230344112345
48,2,0.08111243793798675,0.3320489875905468
49,2,0.08285423073054307,0.31768116129992696
50,2,0.08253878207232275,0.3202539564630601
51,2,0.08176880635689955,0.32656993520118793
52,2,0.08250627518580834,0.32047088649345035
53,2,0.08104917103152698,0.33244653931971846
54,2,0.08334652657522826,0.3134984697715547
55,2,0.08320701102127964,0.3146213099616868
56,2,0.0836417392985033,0.3110137677071153
57,2,0.08463508463161964,0.30280401933151724
58,2,0.08539430654180251,0.296522048046578
59,2,0.08634224894493728,0.28868372755931093
60,2,0.08540781456477789,0.29635186914535705
61,2,0.0846534303331439,0.30253692984270975
62,2,0.08561862318013509,0.2945564514599691
63,2,0.08745497798290588,0.2794119917791078
64,2,0.08605591563080148,0.29093788094504625
65,2,0.08551444496475694,0.29539915152007157
66,2,0.08658043191560892,0.2866107005396502
67,2,0.08871958874758097,0.2689787018350229
68,2,0.08711263492487922,0.28221616888464873
69,2,0.08910887429842738,0.2657664278188814
70,2,0.08760027019725868,0.2781978145654923
71,2,0.08954493954202102,0.2621725742653168
72,2,0.08823374656079384,0.2729756645200674
1,3,0.058741827852901336,0.5174729487370295
2,3,0.05617522824192694,0.5385214854036844
3,3,0.05546321998748385,0.544336981438198
4,3,0.052217374881455544,0.5709722055050948
5,3,0.0535247823555899,0.5601985892045428
6,3,0.05228231261380867,0.570377091318729
7,3,0.05614813123234863,0.5385777885905356
8,3,0.05304273316048811,0.5640675048202338
9,3,0.05585569867725482,0.5409176419735454
10,3,0.05609679932735425,0.5389046511102199
11,3,0.05747700983182039,0.5275273055732321
12,3,0.06291516406150326,0.48278851492178865
13,3,0.06336458786366425,0.479057116813167
14,3,0.06742428067493397,0.44564134724490667
15,3,0.07031067351055723,0.4218679062502305
16,3,0.07275602515407144,0.40171737597066337
17,3,0.07443471452364049,0.38786833792883557
18,3,0.07666027213891545,0.3695192290770324
19,3,0.07775420125820087,0.36047459557669326
20,3,0.07988379758356064,0.3429091178901448
21,3,0.07960074699592165,0.34518700851548867
22,3,0.08260875662953544,0.3203914844455391
23,3,0.0843062841318131,0.30637586368238223
24,3,0.08485864797921094,0.30178233032793556
25,3,0.08655934724572087,0.2877405666474073
26,3,0.08686720340356466,0.2851595607805618
27,3,0.08650488401721622,0.28809410276775815
28,3,0.0874460047954026,0.2803020372159729
29,3,0.08779254714067877,0.27740370428175154
30,3,0.08735252663672906,0.2809809584646211
31,3,0.08580425026083288,0.29368310027552136
32,3,0.08592541282952665,0.2926451691459442
33,3,0.0873979034503407,0.28049228658819303
34,3,0.08606265992674277,0.29146915643509785
35,3,0.08578937528594495,0.2937074009168168
36,3,0.08644374769080124,0.28830949102922143
37,3,0.08855917358401029,0.2708835708981806
38,3,0.08585024819959758,0.2931774152242399
39,3,0.0850653439546041,0.2996312714903787
40,3,0.08404979903254511,0.3079870661371962
41,3,0.08572458082732769,0.2941943172571344
42,3,0.08468625548276054,0.30273705109994065
43,3,0.08723623924180443,0.2817305663785825
44,3,0.08744794478305296,0.27997098101037676
45,3,0.08766138897529446,0.2781919020567709
46,3,0.08755363965357067,0.2790556967845573
