horizon,iteration_id,MSE,R2
1,1,0.06732483397487725,0.446968969096149
2,1,0.06737773897713155,0.4464930562254823
3,1,0.06498620821733904,0.466100024342603
4,1,0.06440349600779904,0.47084873736538047
5,1,0.062237870462313036,0.4886050530316347
6,1,0.06466437820089192,0.46862912404155144
7,1,0.06536167205566058,0.46286142389067775
8,1,0.06740202433472606,0.44605545571147454
9,1,0.06484164808908119,0.4670614206249518
10,1,0.06509968352528289,0.46490420759054907
11,1,0.06970280071125882,0.42702882148005705
12,1,0.0685278439403058,0.4366479296004775
13,1,0.07190767492710493,0.4088213501776994
14,1,0.07167024708933956,0.41073124961284824
15,1,0.07532916134865222,0.3806032057939056
16,1,0.07399320247042651,0.39154389975819803
17,1,0.0787540946917097,0.35234688294216143
18,1,0.0800533619747103,0.34161327680482745
19,1,0.08114625052729665,0.3325751168920805
20,1,0.08318878250748388,0.3157236869928609
21,1,0.08296718742345528,0.31749394016877297
22,1,0.08337094764463661,0.3141210656004184
23,1,0.08698747817394803,0.2843165246790398
24,1,0.08638732945833287,0.2892043262536209
25,1,0.08536473223776933,0.2975705369014878
26,1,0.08601049636310369,0.29220950383260635
27,1,0.08625066699080648,0.2901862227946681
28,1,0.08819626365017548,0.27412725804105176
29,1,0.08771499867548974,0.2780419843580141
30,1,0.08923642206518739,0.26547417534710305
31,1,0.08867425758686684,0.270057992305361
32,1,0.0900946245683767,0.2583234013799868
33,1,0.0878555493344529,0.2767246934237072
34,1,0.08942680380952332,0.2637730602980607
35,1,0.09122776346219737,0.2489338691475761
36,1,0.09055493240262666,0.25446214847186877
37,1,0.09017843891849023,0.25755199935495265
38,1,0.08874661167867245,0.2693310645885362
39,1,0.09048999738531166,0.2549684575964206
40,1,0.08821736052120277,0.27367399833672623
41,1,0.08824896520436994,0.2734100238660404
42,1,0.08951164170478051,0.2630073097438328
43,1,0.08829207199860607,0.2730372480647937
44,1,0.087389378038649,0.2804532079583423
45,1,0.08986364013007822,0.2600584600042415
46,1,0.0887297411869838,0.2693713055488294
47,1,0.09045895932699838,0.25510735485647607
48,1,0.09056880779922712,0.25417693759295157
49,1,0.09033710835936143,0.25605837717880253
50,1,0.08990584323166795,0.2595827113849385
51,1,0.09373511690742485,0.22801800998083166
52,1,0.0945004866637828,0.22168548048059966
53,1,0.09632654821472501,0.2066159369956707
54,1,0.09667995577363656,0.20367482235610945
55,1,0.10213296828407413,0.15872762219085934
56,1,0.10457179549175946,0.13860558156448277
57,1,0.10593086451125326,0.12737639139322898
58,1,0.10465473943775422,0.13785467973967902
59,1,0.10110408961067312,0.167070755867886
60,1,0.09994741716520276,0.17656465476348437
61,1,0.09930027408406963,0.18186098593314404
62,1,0.10069716909132877,0.17031872677667625
63,1,0.10051240905612945,0.17182488277114638
64,1,0.09999886738340133,0.17605421672381716
65,1,0.09949357682812486,0.18021734596662142
66,1,0.1000507665173497,0.17562034911244828
67,1,0.10049153860116596,0.17198156529075148
68,1,0.10351477529967572,0.14706710391989708
69,1,0.10085839623837414,0.1689534725065308
70,1,0.10210833115749737,0.15865537384086204
71,1,0.1008791765898215,0.16878135655478488
72,1,0.1011756432101868,0.16633762433561317
1,2,0.05711537498344396,0.5308332328106327
2,2,0.056924141672916526,0.5323691747053476
3,2,0.055319370021960905,0.5455187936287811
4,2,0.05248088606085994,0.5688071479858059
5,2,0.05355420209247407,0.5599568536716277
6,2,0.053986374067947755,0.556374194317851
7,2,0.052763179404665204,0.5663951339511651
8,2,0.05246524162459784,0.5688136276383049
9,2,0.05302078480118862,0.5642180209473449
10,2,0.054750589526510386,0.5499700075163252
11,2,0.05542152712255583,0.5444237909129446
12,2,0.05834366890335918,0.5203697536428731
13,2,0.05939998798042273,0.5116515068895582
14,2,0.06139547156307024,0.49520987750603684
15,2,0.06436165123673769,0.47078396026030755
16,2,0.06849871088280692,0.4367258463775594
17,2,0.06853516079836235,0.43638472776715065
18,2,0.0728930978827373,0.400501781877424
19,2,0.07087352895771162,0.41706786853775424
20,2,0.07508604184207077,0.38237346044378373
21,2,0.0763177631993518,0.3721935445337653
22,2,0.07863258442013724,0.3531027925812661
23,2,0.07792001421462014,0.3589184588307861
24,2,0.07933654440435463,0.34721824501123966
25,2,0.07907620397211067,0.3493161163408157
26,2,0.08002731656313117,0.3414457944988456
27,2,0.08158892489188728,0.3285507813892542
28,2,0.08039256704434519,0.33835322882772345
29,2,0.07966962574983401,0.3442612348877323
30,2,0.07951262209537999,0.3455130431802963
31,2,0.0799933584808796,0.3415167571651796
32,2,0.08044583165753261,0.3377541547816233
33,2,0.07819498725532895,0.35625576519332636
34,2,0.07996742273822516,0.34164961275128236
35,2,0.0803245614175657,0.33869849192008405
36,2,0.07970147708094517,0.34381853743371693
37,2,0.0783337727873914,0.3550703063117977
38,2,0.07712048384475818,0.36505134378208215
39,2,0.07836054085456048,0.35483394515018163
40,2,0.07853048160644982,0.3534296381470756
41,2,0.07837367631238958,0.3547173332914051
42,2,0.0790897247192466,0.3488159988764429
43,2,0.07861687599319174,0.3526990676868267
44,2,0.07829568847562451,0.3553288427294595
45,2,0.08060365645235595,0.3363056114985644
46,2,0.08115773763190115,0.33172157275147074
47,2,0.08157629019164239,0.3282525132509222
48,2,0.0820770088854631,0.32410586373326433
