model,horizon,iteration_id,MSE,R2
GRU,1,1,0.0787923208279795,0.3527708002805523
GRU,2,1,0.071294594546766,0.4143161564293879
GRU,3,1,0.0649941358321345,0.466034894317903
GRU,4,1,0.0640070389058631,0.4741061036432057
GRU,5,1,0.0594677688402212,0.5113663712066268
GRU,6,1,0.0565304018778279,0.5354689861737472
GRU,7,1,0.0571605889248095,0.5302574677328276
GRU,8,1,0.0583814711803809,0.5201910066186552
GRU,9,1,0.0568808600046513,0.5324917608068246
GRU,10,1,0.0608012594531401,0.5002356947874385
GRU,11,1,0.0630650728878676,0.4815922923141453
GRU,12,1,0.0598149125233312,0.5082749890666616
GRU,13,1,0.0618016205707811,0.4919068285422658
GRU,14,1,0.064743500140923,0.4676825743857825
GRU,15,1,0.0670630707556333,0.4485714391084351
GRU,16,1,0.0681705664117509,0.4394242226946867
GRU,17,1,0.0728918147025144,0.4005567433047334
GRU,18,1,0.072670178350259,0.4023351497323671
GRU,19,1,0.0760674074956079,0.3743484113415635
GRU,20,1,0.0843464638335006,0.3062010820751518
GRU,21,1,0.0834110047572161,0.3138430026215721
GRU,22,1,0.0868862545648166,0.2852012196274824
GRU,23,1,0.0903190440921778,0.2569062959349478
GRU,24,1,0.0940304608107772,0.2263165771675337
GRU,25,1,0.1003029249191293,0.1746506097868189
GRU,26,1,0.0979379470790949,0.1940571082849272
GRU,27,1,0.0972012785432795,0.2000663985665514
GRU,28,1,0.0940190828871202,0.2262043008711539
GRU,29,1,0.0892162690422684,0.2656854411064827
GRU,30,1,0.0868926725737421,0.2847661246223222
GRU,31,1,0.0897636125707593,0.261090722821817
GRU,32,1,0.0886360691597139,0.270330515229213
GRU,33,1,0.0876813894900471,0.2781584732567408
GRU,34,1,0.0861089925213274,0.2910877125853082
GRU,35,1,0.0868773796502753,0.2847500046455953
GRU,36,1,0.0913346123640243,0.248043051158478
GRU,37,1,0.0928339905607373,0.235688580215727
GRU,38,1,0.0960392046413772,0.2092896609151021
GRU,39,1,0.0924411265267448,0.2389042207119744
GRU,40,1,0.0946742265349657,0.2205122436963251
GRU,41,1,0.0944601537269612,0.2222707577008021
GRU,42,1,0.0939606429721177,0.2263765279760029
GRU,43,1,0.0944299349149034,0.2225004601558745
GRU,44,1,0.094609660224899,0.2210028376575714
GRU,45,1,0.0955456850048633,0.2132722289002305
GRU,46,1,0.0931518254595236,0.2329584679187704
GRU,47,1,0.0944725088310388,0.2220574112276541
GRU,48,1,0.0980127219604502,0.1928772143115551
GRU,49,1,0.0971121586413506,0.2002646729855252
GRU,50,1,0.0980175550203839,0.1927789149603657
GRU,51,1,0.1063780352241119,0.1238936906885728
GRU,52,1,0.1058486615902802,0.1282208896921591
GRU,53,1,0.1094396476848138,0.0986111934542779
GRU,54,1,0.1146941420807326,0.0552971157641064
GRU,55,1,0.1192393362404126,0.01782194708819
GRU,56,1,0.1238455308718795,-0.0201589112967577
GRU,57,1,0.1328334869625104,-0.0942385608939557
GRU,58,1,0.1354874364639901,-0.1161449536738086
GRU,59,1,0.1394921151870683,-0.1491826147939443
GRU,60,1,0.1298432632626912,-0.0697378215849866
GRU,61,1,0.1297434802691515,-0.0689618332688482
GRU,62,1,0.1327256565568221,-0.0935758444370058
GRU,63,1,0.1284715819892126,-0.0585455912719874
GRU,64,1,0.1283434696265619,-0.0574925834349355
GRU,65,1,0.1253714347121996,-0.0330046497965119
GRU,66,1,0.1268178009776537,-0.0449296705603545
GRU,67,1,0.1284251322521468,-0.058182394905804
GRU,68,1,0.1287924489871202,-0.0612138816880332
GRU,69,1,0.1275170569017304,-0.0507068453072452
GRU,70,1,0.1310895462015924,-0.0801418845268395
GRU,71,1,0.1303318941958051,-0.0739015122176678
GRU,72,1,0.1294107806433507,-0.0663129524523375
GRU,1,2,0.0645640258570298,0.4696472657869455
GRU,2,2,0.0635694086589072,0.4777784229849634
GRU,3,2,0.061285931504561,0.4964999769028556
GRU,4,2,0.0617929561987527,0.492297424497947
GRU,5,2,0.0586633683510927,0.5179759538035807
GRU,6,2,0.0603584030778385,0.5040128984881846
GRU,7,2,0.0600876127242414,0.5062033493723599
GRU,8,2,0.0632282761107031,0.4803574678654364
GRU,9,2,0.0628742663962828,0.4832314847017929
GRU,10,2,0.0615927221517041,0.4937301584020558
GRU,11,2,0.064917289757217,0.4663666934619289
GRU,12,2,0.0654827661068983,0.4616808330648287
GRU,13,2,0.0678677845742146,0.4420347300661874
GRU,14,2,0.067570886801112,0.444435959901057
GRU,15,2,0.0689536764193645,0.4330258646422207
