config,model,y,term,coef,std_error,t_stat,p_value,r_squared,n_obs,logged_vars_used
B,Tree,global_mse,const,0.09508694135024745,0.006266860096960368,15.172979750476276,5.339662961253971e-52,0.8891006684720824,55,"n_estimators,min_samples_leaf"
B,Tree,global_mse,log_n_estimators,-0.0016926830132190985,0.0013774095369059188,-1.228888698579349,0.21911353928554655,0.8891006684720824,55,"n_estimators,min_samples_leaf"
B,Tree,global_mse,max_depth,0.01145396286801472,0.0007047602004567143,16.25228391244578,2.1519593753793738e-59,0.8891006684720824,55,"n_estimators,min_samples_leaf"
B,Tree,global_mse,log_min_samples_leaf,0.0003677160242443302,0.0014009369140185134,0.2624786459438464,0.7929524464581543,0.8891006684720824,55,"n_estimators,min_samples_leaf"
B,Tree,var_mse_across_horizons,const,0.001306201306924491,0.001450581810384396,0.900467176393419,0.3678716854671569,0.8360858729883324,55,"n_estimators,min_samples_leaf"
B,Tree,var_mse_across_horizons,log_n_estimators,-0.0006331736140335306,0.0003394099796051724,-1.8655126604411765,0.06210957926622988,0.8360858729883324,55,"n_estimators,min_samples_leaf"
B,Tree,var_mse_across_horizons,max_depth,0.0021381343183316114,0.00013574592325917907,15.751002070605695,6.760155256050752e-56,0.8360858729883324,55,"n_estimators,min_samples_leaf"
B,Tree,var_mse_across_horizons,log_min_samples_leaf,0.00016987999596141656,0.00033988736581452524,0.4998126233798263,0.6172070212539199,0.8360858729883324,55,"n_estimators,min_samples_leaf"
B,XGBoost,global_mse,const,0.11365693849232429,0.023380956194411225,4.861090262830732,1.1674100471401115e-06,0.5466900876982497,55,"n_estimators,learning_rate"
B,XGBoost,global_mse,log_n_estimators,-0.003459303665690732,0.0031759121021528846,-1.0892315512591617,0.2760517886855153,0.5466900876982497,55,"n_estimators,learning_rate"
B,XGBoost,global_mse,max_depth,0.007782815901450902,0.0015118975373797222,5.147713855622348,2.6368031086867787e-07,0.5466900876982497,55,"n_estimators,learning_rate"
B,XGBoost,global_mse,log_learning_rate,0.008456158303684925,0.004771426599700586,1.7722494786392735,0.07635315357921524,0.5466900876982497,55,"n_estimators,learning_rate"
B,XGBoost,global_mse,subsample,-0.003379949750986745,0.021294226867000138,-0.1587261078834792,0.8738846678213317,0.5466900876982497,55,"n_estimators,learning_rate"
B,XGBoost,global_mse,colsample_bytree,-0.004130362674838291,0.02819046389753759,-0.14651630742405325,0.8835138173729309,0.5466900876982497,55,"n_estimators,learning_rate"
B,XGBoost,var_mse_across_horizons,const,-0.0009063303368715269,0.0009269329958273596,-0.977773302872401,0.3281864578372111,0.7091563100189269,55,"n_estimators,learning_rate"
B,XGBoost,var_mse_across_horizons,log_n_estimators,0.00045176089907189695,0.00010066388209307771,4.48781518930674,7.195730760866478e-06,0.7091563100189269,55,"n_estimators,learning_rate"
B,XGBoost,var_mse_across_horizons,max_depth,0.00038003554072091816,4.3322624738750325e-05,8.772218742808347,1.751796697152269e-18,0.7091563100189269,55,"n_estimators,learning_rate"
B,XGBoost,var_mse_across_horizons,log_learning_rate,0.0005133422524463981,0.00018073817072289614,2.8402536685703392,0.004507767240905921,0.7091563100189269,55,"n_estimators,learning_rate"
B,XGBoost,var_mse_across_horizons,subsample,0.000170123813387151,0.0007729555574174468,0.2200952069683781,0.8257970075775038,0.7091563100189269,55,"n_estimators,learning_rate"
B,XGBoost,var_mse_across_horizons,colsample_bytree,0.0006043889593546732,0.0009923361999956098,0.6090566476939439,0.5424868915714833,0.7091563100189269,55,"n_estimators,learning_rate"
B,LSTM,global_mse,const,0.09483215218061407,0.054319594873481994,1.7458184730849253,0.08084249992975251,0.6574271652068537,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,global_mse,log_learning_rate,-0.011733508774914022,0.003999686481300948,-2.9336071289011514,0.0033504800718396855,0.6574271652068537,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,global_mse,log_batch_size,-0.0015806876392346798,0.00459161644933227,-0.34425515647426286,0.7306544054096501,0.6574271652068537,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,global_mse,log_epochs,-0.005754064334619098,0.002515365837306177,-2.2875655895769795,0.022162831721663098,0.6574271652068537,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,global_mse,log_patience,-0.008940156609011483,0.00475697194327369,-1.8793797221471475,0.06019266311546837,0.6574271652068537,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,global_mse,log_units,-0.009404867055053863,0.00544226347436897,-1.7281168211254891,0.08396728231639944,0.6574271652068537,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,global_mse,num_layers,-0.0040426357535478935,0.0036178611053051105,-1.117410435580268,0.26381887522597147,0.6574271652068537,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,global_mse,dropout,-0.004382627349885079,0.020614535353064706,-0.21259889077410257,0.8316398367010773,0.6574271652068537,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,global_mse,recurrent_dropout,-0.008671057734075449,0.01888629664037982,-0.45911900565705965,0.6461487092028659,0.6574271652068537,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,var_mse_across_horizons,const,0.0007580884034536031,0.00024014952708387537,3.1567349420131516,0.0015954630103849994,0.33830785908583205,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,var_mse_across_horizons,log_learning_rate,1.85783782323869e-05,1.423802750820607e-05,1.3048421364321197,0.1919466078213231,0.33830785908583205,35,"learning_rate,batch_size,epochs,patience,units"
