iteration_id,strategy,global_mse,global_r2,var_mse_across_horizons,batch_size,dropout,epochs,learning_rate,num_layers,patience,recurrent_dropout,units,is_best
1,random,0.0908664946317133,0.25211334732064083,0.00021748308984901143,48,0.10791468550554813,3,0.0022297217157477775,2,3,0.012292057180858407,84,False
2,random,0.07550774198117631,0.378525245960466,0.0003267186524216024,168,0.2917986243935994,24,0.0016036685991738307,2,8,0.16308749743962686,81,False
3,random,0.07600309316899773,0.37444820366603115,0.0002706142819779995,204,0.3429617106350278,30,0.0018837355453819819,1,7,0.010075672591639306,70,False
4,random,0.18495355760451732,-0.5222805464062106,0.0011231699958920527,153,0.11988475621495392,18,0.0001526094648129324,1,2,0.12680616635929753,30,False
5,random,0.07568165563422481,0.37709383055965273,0.0004008226920581947,203,0.25887580462970006,17,0.0028106885617398374,3,5,0.18461553344437615,16,False
6,bayes,0.10887438427285921,0.1038974360529964,0.000535592951850406,32,0.0,3,0.003,3,8,0.3,96,False
7,bayes,0.1506998015991295,-0.24035124975626432,1.7758350551718785e-05,234,0.4,34,0.0007172873654578359,2,3,0.2628334844086683,22,False
8,bayes,0.07889052196397131,0.35068290420031256,0.00023513900136271082,32,0.37882433517533987,17,0.0010420355540040089,3,4,0.04794445083890144,59,False
9,bayes,0.07851803457980311,0.35374870247986456,0.00025362521372220915,32,0.4,40,0.0021565230367025985,2,8,0.10610962489042276,96,False
10,bayes,0.10466925405260714,0.13850822165941568,0.00013365367793253787,198,0.3902995277265812,33,0.0003693945123368375,3,8,0.0,78,False
11,bayes,0.08286904194302896,0.3179372590445797,0.0001286813695297673,58,0.10791819866891868,22,0.003,3,4,0.0,71,False
12,bayes,0.07713961103698205,0.3650939686705894,0.0003678294044355028,35,0.19170365099119296,27,0.002077500001671296,2,8,0.18221321659704243,16,False
13,bayes,0.09033240453907197,0.25650923442109164,0.00012940974373785896,256,0.3789069858481214,3,0.003,2,6,0.0,96,False
14,bayes,0.12240201958472523,-0.007443250446069305,0.00021708770929482606,32,0.02340847688868812,17,0.0016216295044474258,3,5,0.3,16,False
15,bayes,0.2781695785361873,-1.2895052330548418,0.0006760537768169066,256,0.0,40,0.0010758188353607717,3,2,0.0,62,False
16,bayes,0.07271194708950914,0.40153634253221826,0.00032043219746383933,256,0.4,39,0.003,1,6,0.07845608029158985,96,True
17,bayes,0.11472751334836759,0.05572261507278364,8.243413841355192e-05,256,0.3674234762101913,3,0.002296903017680912,1,7,0.3,16,False
18,bayes,0.08660969812260791,0.28714937798557716,6.210895553767312e-05,32,0.4,24,0.003,3,8,0.0,96,False
19,bayes,0.09516217531063087,0.21675727623023233,0.00020729245568317745,151,0.4,40,0.002173232531718192,1,5,0.0,96,False
20,bayes,0.08270406411947556,0.3192951271204173,0.00030928754425556336,123,0.31534485743681256,40,0.003,1,8,0.0,16,False
21,bayes,0.09618876924279461,0.2083077822478938,0.0003283138510748703,256,0.25283342278569293,18,0.003,1,5,0.0,96,False
22,bayes,0.14128556562332845,-0.16286634775787556,1.790744318484159e-05,32,0.0,3,0.003,3,4,0.09696181243783736,37,False
23,bayes,0.07715620295701339,0.3649574070525359,0.00024801227213233266,32,0.23803712486708967,40,0.0009233558677144442,3,5,0.3,96,False
24,bayes,0.08546888774132595,0.29653894298263017,0.0001902901967977175,32,0.4,40,0.0001,2,8,0.025969222897384556,96,False
25,bayes,0.08966903576430861,0.26196916389741376,0.00021263321903543898,165,0.21014256179148566,40,0.003,3,7,0.0,96,False
26,bayes,0.0786797855465665,0.3524173934028433,0.0005428610118412328,32,0.24325578007189927,40,0.003,1,2,0.27757568766086066,16,False
27,bayes,0.08070119348863151,0.3357799735747996,0.00018946594465216483,32,0.24895412612491774,5,0.003,3,8,0.0,96,False
28,bayes,0.07443554415896232,0.3873500877628898,0.00039126026770983183,32,0.1250917469344563,40,0.003,3,8,0.09257927569410886,96,False
29,bayes,0.08487363996838652,0.30143819508014835,0.00020722469823174038,32,0.33632076873933103,40,0.003,3,2,0.22222029147214895,96,False
30,bayes,0.14856014912028645,-0.22274060529611694,7.713218073104885e-06,32,0.28997063769044595,7,0.0001,3,8,0.29781512882559996,16,False
31,bayes,0.0772062949657468,0.36454511927925437,0.00034542739002803785,32,0.24396093702613594,40,0.003,1,8,0.3,61,False
32,bayes,0.0765899764701307,0.3696177962713504,0.000275339135719995,137,0.25592701730586,37,0.003,3,8,0.3,45,False
33,bayes,0.07439756816219505,0.38766265337048345,0.0002821186782891779,242,0.343935987662974,40,0.003,3,8,0.09543035626124596,96,False
34,bayes,0.07660433909414494,0.3694995831187332,0.00039543418446233696,175,0.29114695222770276,40,0.003,1,5,0.3,96,False
35,bayes,0.07451018744700678,0.38673572799181255,0.00023496443247228901,32,0.4,40,0.0004940164523742152,3,8,0.3,96,False
