horizon,iteration_id,MSE,R2
1,1,0.0787923208279795,0.3527708002805523
2,1,0.071294594546766,0.4143161564293879
3,1,0.06499413583213456,0.466034894317903
4,1,0.06400703890586312,0.4741061036432057
5,1,0.0594677688402212,0.5113663712066268
6,1,0.05653040187782796,0.5354689861737472
7,1,0.05716058892480954,0.5302574677328276
8,1,0.05838147118038096,0.5201910066186552
9,1,0.056880860004651305,0.5324917608068246
10,1,0.06080125945314013,0.5002356947874385
11,1,0.06306507288786767,0.48159229231414535
12,1,0.059814912523331244,0.5082749890666616
13,1,0.061801620570781174,0.49190682854226586
14,1,0.06474350014092302,0.46768257438578253
15,1,0.06706307075563336,0.4485714391084351
16,1,0.06817056641175097,0.43942422269468673
17,1,0.07289181470251445,0.40055674330473345
18,1,0.07267017835025906,0.40233514973236717
19,1,0.07606740749560799,0.3743484113415635
20,1,0.08434646383350068,0.30620108207515184
21,1,0.08341100475721615,0.31384300262157216
22,1,0.08688625456481668,0.28520121962748246
23,1,0.09031904409217789,0.25690629593494785
24,1,0.09403046081077726,0.22631657716753373
25,1,0.10030292491912934,0.1746506097868189
26,1,0.09793794707909492,0.19405710828492728
27,1,0.09720127854327959,0.2000663985665514
28,1,0.0940190828871202,0.22620430087115395
29,1,0.08921626904226847,0.26568544110648273
30,1,0.08689267257374213,0.2847661246223222
31,1,0.0897636125707593,0.261090722821817
32,1,0.08863606915971399,0.27033051522921303
33,1,0.08768138949004714,0.2781584732567408
34,1,0.08610899252132741,0.2910877125853082
35,1,0.08687737965027532,0.2847500046455953
36,1,0.09133461236402436,0.24804305115847802
37,1,0.0928339905607373,0.23568858021572703
38,1,0.09603920464137729,0.20928966091510215
39,1,0.09244112652674487,0.23890422071197448
40,1,0.09467422653496578,0.22051224369632516
41,1,0.0944601537269612,0.22227075770080218
42,1,0.09396064297211779,0.22637652797600294
43,1,0.09442993491490341,0.22250046015587455
44,1,0.094609660224899,0.22100283765757145
45,1,0.09554568500486332,0.21327222890023056
46,1,0.0931518254595236,0.2329584679187704
47,1,0.09447250883103886,0.2220574112276541
48,1,0.09801272196045022,0.19287721431155513
49,1,0.09711215864135063,0.2002646729855252
50,1,0.09801755502038391,0.1927789149603657
51,1,0.10637803522411196,0.12389369068857281
52,1,0.10584866159028022,0.12822088969215917
53,1,0.10943964768481382,0.09861119345427793
54,1,0.11469414208073268,0.05529711576410645
55,1,0.1192393362404126,0.01782194708819007
56,1,0.1238455308718795,-0.02015891129675773
57,1,0.13283348696251046,-0.09423856089395577
58,1,0.1354874364639901,-0.11614495367380862
59,1,0.13949211518706833,-0.14918261479394435
60,1,0.1298432632626912,-0.06973782158498665
61,1,0.1297434802691515,-0.0689618332688482
62,1,0.13272565655682217,-0.09357584443700584
63,1,0.1284715819892126,-0.05854559127198744
64,1,0.12834346962656196,-0.057492583434935574
65,1,0.12537143471219966,-0.033004649796511965
66,1,0.12681780097765374,-0.04492967056035457
67,1,0.12842513225214683,-0.058182394905804014
68,1,0.12879244898712025,-0.06121388168803321
69,1,0.12751705690173046,-0.05070684530724523
70,1,0.13108954620159244,-0.08014188452683957
71,1,0.13033189419580513,-0.07390151221766783
72,1,0.1294107806433507,-0.06631295245233759
1,2,0.06456402585702982,0.4696472657869455
2,2,0.06356940865890728,0.4777784229849634
3,2,0.061285931504561034,0.49649997690285563
4,2,0.06179295619875278,0.492297424497947
5,2,0.058663368351092704,0.5179759538035807
6,2,0.06035840307783857,0.5040128984881846
7,2,0.060087612724241415,0.5062033493723599
8,2,0.06322827611070315,0.4803574678654364
9,2,0.06287426639628285,0.4832314847017929
10,2,0.06159272215170414,0.4937301584020558
11,2,0.064917289757217,0.46636669346192894
12,2,0.06548276610689831,0.46168083306482877
13,2,0.0678677845742146,0.44203473006618743
14,2,0.06757088680111206,0.444435959901057
15,2,0.06895367641936452,0.4330258646422207
16,2,0.07085895990477693,0.4173171998051747
17,2,0.07154757083907744,0.4116114539410364
18,2,0.07223115831728659,0.4059458033488522
19,2,0.0768269683846669,0.3681010513674513
20,2,0.07725682833241668,0.3645174739613999
21,2,0.0777212164523995,0.36064843399499213
22,2,0.08030097225891861,0.3393772430300468
23,2,0.08004915349721477,0.34140111227473824
24,2,0.08175680864362882,0.32730429048358
25,2,0.08252167683480463,0.32096481024965917
26,2,0.08434625066120892,0.30590477755961465
27,2,0.08613681164556253,0.29112321372450334
28,2,0.08657278810644484,0.2874887837526766
29,2,0.08741242620311948,0.2805323751126041
30,2,0.08778169672221482,0.27744835928972933
31,2,0.0860893274411711,0.29133642362970735
32,2,0.0870282923726027,0.2835660486976932
33,2,0.0876305821646244,0.2785767471637376
34,2,0.08816587611909674,0.2741539404722587
35,2,0.08768741737008215,0.2780810710559656
36,2,0.08678941054638711,0.28546365220113024
37,2,0.08818377820489172,0.2739742381576781
38,2,0.08735211289886548,0.280812257161424
39,2,0.08734896014839583,0.280829568050451
40,2,0.08769642798962199,0.2779630276226164
41,2,0.08749344364778758,0.27963054314912295
42,2,0.08934178019090254,0.2644058618394005
43,2,0.08930954043971498,0.26465980667948497
44,2,0.08862714147013692,0.27026170955862017
45,2,0.08924241662772092,0.26517364423615586
46,2,0.09034242469198095,0.25609196056194394
47,2,0.09086806573336018,0.25173853041446126
48,2,0.0926324105111512,0.23718342148517058
49,2,0.09234760664771322,0.23950157802417604
50,2,0.0930296135813134,0.23385698000415622
51,2,0.09444351768777655,0.2221837755744548
52,2,0.09432225377432259,0.22315342261105997
53,2,0.09404360763268566,0.2254191507321197
54,2,0.09444166464274117,0.22211098700022947
55,2,0.09290737089377371,0.23471914954626327
56,2,0.09402489555155141,0.22548408161862998
57,2,0.09674346952472264,0.2030591284673744
58,2,0.09536913726977282,0.21434943284816788
59,2,0.09637390051654664,0.20603963281385695
60,2,0.09551481137014346,0.2130835002391912
61,2,0.09856314671607737,0.18793420842576603
62,2,0.0976563413780433,0.19537323259424533
63,2,0.0976813605066903,0.19515139525183967
64,2,0.09713381968158265,0.19966092382528622
65,2,0.09813189095044565,0.19143702967235465
66,2,0.09826254672987185,0.19035458909306413
67,2,0.09874505050320065,0.18637207379769138
68,2,0.0989940276214597,0.18431680473280376
69,2,0.09940957259373305,0.18089139640513907
70,2,0.09867143823762915,0.1869744282807524
71,2,0.09849208999087436,0.18845034029987306
72,2,0.09864306549152294,0.18720544084269342
1,3,0.04230083238294593,0.652525352686928
2,3,0.04108507137577567,0.6624868593515447
3,3,0.03977932288416744,0.6731894335410977
4,3,0.039190675833476865,0.6780020202897514
5,3,0.03914197776411649,0.6783789436523506
6,3,0.03929627970284191,0.6770880792708327
7,3,0.0396894540634333,0.6738342797590255
8,3,0.040220294274015495,0.669448910434413
9,3,0.04125513106277879,0.6609208496625012
10,3,0.042288744922441675,0.6524018513010621
11,3,0.043999817026520845,0.6383125676573378
12,3,0.04577295700534163,0.6237107631792733
13,3,0.04787013266931936,0.606442560867793
14,3,0.050035576115329626,0.5886103005110596
15,3,0.051742160386016735,0.5745481869888128
16,3,0.05399300984230688,0.5560081857235784
17,3,0.05652592940720477,0.5351455118812851
18,3,0.05876050498290493,0.5167331468076248
19,3,0.06058582278574057,0.5016838679789934
20,3,0.06268758349893483,0.4843580202160156
21,3,0.06475122221196597,0.46734241676063504
22,3,0.06617896951133223,0.4555566132992729
23,3,0.06776141177038304,0.4424976595883615
24,3,0.06871460616256655,0.43461564224998384
25,3,0.07033579945764959,0.4212371250456294
26,3,0.07146516470288648,0.41190474973890445
27,3,0.07242312514222138,0.4039822089759132
28,3,0.07325020782524332,0.3971362617574291
29,3,0.07404285613440914,0.39057362715094823
30,3,0.07477795919355801,0.38448515895914037
31,3,0.07549168408615645,0.37857329798203165
32,3,0.0756271125838388,0.3774227941638786
33,3,0.0770168237024566,0.3659550569438883
34,3,0.07686085861570127,0.36722512366616566
35,3,0.07765911089377181,0.3606427941358673
36,3,0.07854295232250913,0.35335666016684697
37,3,0.07919646861357416,0.3479676463079675
38,3,0.07965264213152352,0.3442035686987569
39,3,0.08042845100253154,0.33780821488593293
40,3,0.08051019360225196,0.3371299405607915
41,3,0.08113580175557578,0.3319756200577606
42,3,0.08122373927422682,0.33124562369432065
43,3,0.08188357198191486,0.32580235712219807
44,3,0.0829849591371793,0.3167183189190649
45,3,0.0836976962772443,0.3108291385944828
46,3,0.08446441465308938,0.3044933504818802
47,3,0.08498500042883132,0.300183174359582
48,3,0.08584968560241421,0.29303833208654373
49,3,0.08609950005939322,0.29095581028035944
