horizon,iteration_id,MSE,R2
1,1,0.013671921666916876,0.8876937901293128
2,1,0.016698401838240184,0.8628229218178405
3,1,0.020155654511337228,0.8344094270437727
4,1,0.023986753875196536,0.8029203088908549
5,1,0.02844966506198354,0.7662353347315971
6,1,0.03332557367895718,0.7261515571588526
7,1,0.038482975866940966,0.6837490502994574
8,1,0.04379606037620313,0.6400614232853339
9,1,0.049211625908108736,0.5955257959487281
10,1,0.05486746403672755,0.5490093414228745
11,1,0.060646039762487974,0.501477235911594
12,1,0.06658988380877313,0.45257946617999834
13,1,0.07297872880173878,0.40001583415823616
14,1,0.0799835220595274,0.3423799692384286
15,1,0.08776162835259277,0.27837678951041134
16,1,0.09700984647064953,0.20227492664371627
17,1,0.10797056646527094,0.11207824563953261
18,1,0.12033699573842169,0.010306646104382922
19,1,0.1340018156972321,-0.10215993464650408
20,1,0.14942563120314528,-0.22911307157613758
21,1,0.1664786306720484,-0.369489286001228
22,1,0.1843437324359094,-0.5165652585036566
23,1,0.20257898039357763,-0.6667045850568549
24,1,0.2202378441148375,-0.8121188347136223
25,1,0.2368786448053284,-0.949171922974662
26,1,0.2529342256273744,-1.0814255076350392
27,1,0.2684199189426464,-1.2090050220960888
28,1,0.28314089807889914,-1.3303057470149495
29,1,0.2975033457178468,-1.4486681680966145
30,1,0.31173793338836864,-1.565987713295041
31,1,0.3259167143738328,-1.6828564152141277
32,1,0.3402197260227977,-1.8007554322901353
33,1,0.3540244728122298,-1.9145245923396916
34,1,0.3670255180049037,-2.0216228513412826
35,1,0.379305769669675,-2.1227743180819347
36,1,0.39114100788194406,-2.2202600004634743
37,1,0.4023969798625262,-2.3129741071984813
38,1,0.4137059684504143,-2.4061255277611595
39,1,0.42404215434138254,-2.4912674264744514
40,1,0.43344580740148553,-2.5687188821747142
41,1,0.44253430136310423,-2.643566660767533
42,1,0.45103956292766717,-2.7136271278585458
43,1,0.45942250481616304,-2.7827071088262185
44,1,0.46774505773012065,-2.851319958292856
45,1,0.4759963895458513,-2.9193771919672136
46,1,0.4839730588197723,-2.985186921371319
47,1,0.49139909099448836,-3.046471144873756
48,1,0.4976692768781214,-3.098245667205407
49,1,0.5025594955749044,-3.138663872380337
50,1,0.5062097995051978,-3.1688779477237876
51,1,0.5096949528035511,-3.19773652553949
52,1,0.5115681799593035,-3.21332160545406
53,1,0.5120972316374878,-3.2178380708103846
54,1,0.5112322301565568,-3.210873838729203
55,1,0.5091383914009331,-3.1937884736340685
56,1,0.50540163825591,-3.163169889304559
57,1,0.5001936303397603,-3.120430553673379
58,1,0.49364766576370034,-3.066667474230714
59,1,0.4871424940869674,-3.0132425003474514
60,1,0.48241743776679336,-2.9744855913486865
61,1,0.47988082141586963,-2.9537576882253274
62,1,0.4780565387974721,-2.9388848898273254
63,1,0.47674900154010985,-2.9281882102610064
64,1,0.47875818369220735,-2.9447525455436923
